SesNumRegSt;EstSession;NumReg;NumSeg;
;"20011231.COMP";1723;1;
;"20020102";20273;5;
;"20020102.PROV";1546;0;
;"20020104";20305;8;
;"20020104_LEV";15241;5;
;"20020108";20359;8;
;"20020109.PROV";2277;0;
;"20020109_LEV";15353;6;
;"20020110";20397;4;
;"20020111_LEV";15409;3;
;"20020114";20974;6;
;"20020115";21002;8;
;"20020115.PROV";1561;0;
;"20020116";21016;6;
;"20020116.PROV";5988;2;
;"20020117.PROV";7381;3;
;"20020117_CAVCMU";15535;5;
;"20020122_CAM";21072;6;
;"20020123_CAM";21085;10;
;"20020123_CAVCMU";15577;3;
;"20020124_CAM";21099;8;
;"20020128.PROV";6740;2;
;"20020128_CAVCMU";15633;5;
;"20020129_CAM";21107;7;
;"20020130_CAM";5114;2;
;"20020130_CAVCMU";15675;6;
;"20020131_CAM";21151;1;
;"20020201_CAVCMU";15706;1;
;"20020204_CAM";21213;8;
;"20020204_CAVCMU";15759;7;
;"20020205_CAVCMU";15787;8;
;"20020206.PROV";1487;0;
;"20020207_CAM";21230;7;
;"20020207_CAVCMU";15829;6;
;"20020208_CAM";18638;7;
;"20020211_CAM";21259;7;
;"20020211_CAVCMU";15871;5;
;"20020212_CAM";21257;9;
;"20020212_CAVCMU";15885;6;
;"20020213.PROV";2725;1;
;"20020213_CAM";21288;5;
;"20020214_CAM";21310;6;
;"20020214_CAVCMU";15927;1;
;"20020218_CAM";21324;11;
;"20020218_CAVCMU";15955;5;
;"20020219_CAM";21336;10;
;"20020219_CAVCMU";15969;6;
;"20020220.PROV";6395;3;
;"20020220_CAM";20615;8;
;"20020220_CAVCMU";15983;6;
;"20020221_CAM";21351;9;
;"20020221_CAVCMU";15997;8;
;"20020222_CAM";21366;12;
;"20020222_CAVCMU";16025;6;
;"20020225_CAM";21373;1;
;"20020225_CAVCMU";16053;1;
;"20020226.2.PROV";15808;5;
;"20020226.PROV";1143;1;
;"20020226_CAM";2608;0;
;"20020226_CAM2";2578;0;
;"20020226_CAVCMU";16067;3;
;"20020227.PROV";15058;5;
;"20020227_CAM";2583;1;
;"20020228_CAM";21400;6;
;"20020228_CAVCMU";16123;5;
;"20020301.PROV";15084;8;
;"20020301_CAM";21039;10;
;"20020304.PROV";16459;7;
;"20020304_CAM";21050;13;
;"20020304_CAVCMU";16151;7;
;"20020305_CAM";21057;13;
;"20020305_CAM.PV";88591;40;
;"20020306_CAM";21072;8;
;"20020306_CAVCMU";16193;8;
;"20020307.PROV";16306;6;
;"20020307_CAM";2575;1;
;"20020308.PROV";17403;7;
;"20020308_CAM";21095;8;
;"20020308_CAVCMU";16193;7;
;"20020311.PROV";17704;5;
;"20020311_CAVCMU";16235;7;
;"20020312.PROV";15568;6;
;"20020312_CAM";21113;8;
;"20020312_CAM2";18872;6;
;"20020312_CAVCMU";16263;4;
;"20020312_CAVCMU.BIS";16263;5;
;"20020313.PROV";17832;11;
;"20020313.PROV.BIS";10134;4;
;"20020313_CAM";21128;12;
;"20020313_CAVCMU";16291;9;
;"20020314.PROV";2308;1;
;"20020314.PROV.BIS";11247;5;
;"20020314_CAM";21137;6;
;"20020314_CAM.PV";3704;1;
;"20020314_CAVCMU";16305;4;
;"20020315_CAVCMU";16333;8;
;"20020318.PROV";15616;8;
;"20020318.PROV.BIS";11259;6;
;"20020318_CAM";21781;10;
;"20020319.PROV";1518;1;
;"20020319.PROV3";2246;1;
;"20020319.PROV4";1518;0;
;"20020319.PROV5";1515;1;
;"20020320_CAM";21791;11;
;"20020320_CAVCMU";16375;11;
;"20020321.PROV";15639;8;
;"20020321_CAM";21801;10;
;"20020321_CAVCMU";16389;8;
;"20020322.PROV";7536;3;
;"20020322.PROV2";1518;1;
;"20020322_CAM";21822;10;
;"20020322_CAVCMU";16417;8;
;"20020325.PROV";17241;7;
;"20020325_CAM";21858;10;
;"20020325_CAVCMU";16445;7;
;"20020326.PROV";16081;7;
;"20020326_CAM";21868;11;
;"20020326_CAVCMU";16445;7;
;"20020327_CAM";21883;9;
;"20020327_CAVCMU";15445;7;
;"20020401.PROV";3436;2;
;"20020401_CAM";21910;10;
;"20020401_CAVCMU";16515;8;
;"20020402_CAM";21925;7;
;"20020402_CAVCMU";16529;6;
;"20020403.PROV";19646;9;
;"20020403_CAVCMU";16543;4;
;"20020404_CAM";21946;13;
;"20020404_CAVCMU";16585;7;
;"20020405_CAM";21990;13;
;"20020405_CAVCMU";16613;11;
;"20020408_CAM";21992;14;
;"20020408_CAVCMU";15840;9;
;"20020409.PROV";16179;9;
;"20020409_CAM";22013;13;
;"20020409_CAVCMU";16627;7;
;"20020410.PROV";16217;7;
;"20020410_CAM";22029;8;
;"20020411.PROV";9220;5;
;"20020411_CAM";22055;11;
;"20020411_CAM_MP";2601;1;
;"20020412_CAM";2601;2;
;"20020412_CAVCMU";16711;9;
;"20020415.PROV";16256;11;
;"20020415_CAM";22068;12;
;"20020416.PROV";16282;10;
;"20020416_CAM";22085;14;
;"20020417.PROV";8527;5;
;"20020417_CAM";22093;15;
;"20020417_CAVCMU";16753;11;
;"20020417_CAVCMU.BIS";16781;11;
;"20020418_CAM";22105;14;
;"20020418_CAVCMU";16809;7;
;"20020419.PROV";17651;10;
;"20020419_CAM";22105;12;
;"20020422.PROV";17651;8;
;"20020422_CAM";22113;13;
;"20020422_CAVCMU";16823;8;
;"20020422_CAVCMU.Ivan";1066;0;
;"20020423.PROV";16348;10;
;"20020423_CAM";22130;11;
;"20020424.PROV";16358;8;
;"20020424_CAM";22138;4;
;"20020424_CAVCMU";16823;1;
;"20020424_CAVCMU.PruebaMan.PV";3028;2;
;"20020425.PROV";16367;3;
;"20020425_CAM";10133;1;
;"20020425_CAVCMU";16907;3;
;"20020426_CAM";22161;5;
;"20020429_CAM";22175;13;
;"20020429_CAVCMU";16949;10;
;"20020430_CAM";2626;2;
;"20020430_CAVCMU";16963;9;
;"20020503_CAM";22194;12;
;"20020506_CAM";12783;6;
;"20020506_CAMII";14672;10;
;"20020506_CAVCMU";17019;11;
;"20020507.PROV";3648;2;
;"20020507_CAM";22229;12;
;"20020507_CAVCMU";17047;9;
;"20020508.PROV";16501;9;
;"20020508_CAM";22221;12;
;"20020508_CAM2";22237;13;
;"20020509.PROV";3898;2;
;"20020509_CAM";22258;12;
;"20020510_CAM";22273;11;
;"20020513.PROV";8415;7;
;"20020513.PROV2";5076;0;
;"20020513_CAM";22281;18;
;"20020513_CAVCMU";17131;13;
;"20020514.PROV";16479;1;
;"20020514_CAM";22297;1;
;"20020514_CAVCMU";17145;1;
;"20020516_CAVCMU";17159;1;
;"20020517_CAM";17833;1;
;"20020517_CAM2";2637;1;
;"20020520.PROV";5077;0;
;"20020520_CAM";19740;1;
;"20020521_CAVCMU";17229;1;
;"20020522.PROV";9473;4;
;"20020522_CAM";22400;1;
;"20020522_CAVCMU";17243;1;
;"20020523_CAM";22409;14;
;"20020524_CAM";22428;1;
;"20020527_CAVCMU";17338;9;
;"20020528.PROV";1598;1;
;"20020528_CAM";22454;8;
;"20020528_CAVCMU";17341;2;
;"20020529_CAM";22470;1;
;"20020529_CAVCMU";17355;1;
;"20020530_CAM";22496;1;
;"20020530_CAVCMU";17369;2;
;"20020531_CAVCMU";17411;1;
;"20020603.PROV";5125;4;
;"20020603_CAM";22506;17;
;"20020603_CAVCMU";13969;11;
;"20020604_CAM";22099;9;
;"20020604_CAVCMU";17451;7;
;"20020605_CAM";22091;12;
;"20020605_CAMII";8817;3;
;"20020605_CAVCMU";17466;8;
;"20020606.PROV";6569;3;
;"20020606_CAM";22092;11;
;"20020606_CAVCMU";17466;7;
;"20020606_CAVCMUII";17487;8;
;"20020607_CAM";22125;11;
;"20020607_CAVCMU";17509;10;
;"20020608_CAM";2660;1;
;"20020610.PROV";3734;3;
;"20020610_CAM";2233;0;
;"20020610_CAVCMU";17523;9;
;"20020611.PROV";19345;8;
;"20020611_CAM";22110;10;
;"20020611_CAVCMU";17537;7;
;"20020612.PROV";3222;1;
;"20020612II_CAM";21760;8;
;"20020612_CAM";14506;4;
;"20020612_CAVCMU";17593;7;
;"20020613.PROV";4468;2;
;"20020613_CAM";21783;6;
;"20020614_CAM";4577;4;
;"20020615_CAM";21820;13;
;"20020617.PROV";17760;11;
;"20020617_CAM";21827;13;
;"20020617_CAVCMU";17621;8;
;"20020618_CAM";21838;14;
;"20020618_CAVCMU";17635;11;
;"20020618_CAVCMUII";17649;11;
;"20020619.PROV";17808;7;
;"20020619_CAM";21846;10;
;"20020619_CAVCMU";17691;9;
;"20020620.PROV";3608;1;
;"20020620_CAM";21868;14;
;"20020621_CAVCMU";17705;10;
;"20020624_CAM";21876;7;
;"20020624_CAMII";21876;6;
;"20020625.PROV";19479;6;
;"20020625_CAM";21887;6;
;"20020625_CAVCMU";17733;5;
;"20020626_CAM";21895;2;
;"20020626_CAVCMU";17733;1;
;"20020627_CAM";21910;2;
;"20020627_CAM.EXP.INI";1148;0;
;"20020628.PROV";21156;1;
;"20020628_CAVCMU";17797;6;
;"20020701_CAM";21926;5;
;"20020701_CAM.EXP";424;0;
;"20020701_CAVCMU";17741;11;
;"20020702_CAM";21962;9;
;"20020702_CAVCMU";17741;7;
;"20020703.PROV";21201;11;
;"20020703_CAM";21986;13;
;"20020703_CAVCMU";17783;7;
;"20020704.PROV";19612;10;
;"20020704_CAM";21995;11;
;"20020705_CAM";22010;9;
;"20020705_CAVCMU";17811;11;
;"20020708.PROV";20532;5;
;"20020708_CAM";2258;0;
;"20020708_CAVCMU";17839;5;
;"20020709.PROV";16027;10;
;"20020709.PROV2";1644;1;
;"20020709_CAM";21975;13;
;"20020709_CAVCMU";17853;11;
;"20020710.PROV";20576;13;
;"20020710_CAM";22000;12;
;"20020710_CAVCMU";17895;12;
;"20020711.PROV";20587;13;
;"20020711_CAM";22058;11;
;"20020711_CAVCMU";17895;10;
;"20020712_CAM";22075;15;
;"20020715.PROV";20626;9;
;"20020715_CAM";22035;11;
;"20020715_CAVCMU";17932;12;
;"20020716_CAM";22053;13;
;"20020716_CAVCMU";17937;10;
;"20020717.PROV";10794;7;
;"20020717_CAM";22054;15;
;"20020717_CAVCMU";17979;12;
;"20020718_CAM";22122;9;
;"20020718_CAM.PV";9623;4;
;"20020718_CAVCMU";18007;7;
;"20020722_CAM";2272;2;
;"20020722_CAMII";22147;14;
;"20020722_CAVCMU";18021;11;
;"20020723_CAM";22136;16;
;"20020724.PROV";19122;13;
;"20020724_CAM";22167;15;
;"20020724_CAVCMU";18091;12;
;"20020725_CAM";22135;16;
;"20020725_CAMII";22154;16;
;"20020726_CAVCMU";18105;11;
;"20020726_CAVCMUII";18105;10;
;"20020729.PROV";4235;3;
;"20020729_CAM";22208;13;
;"20020730.PROV";19176;13;
;"20020730_CAM";22186;13;
;"20020730_CAVCMU";18119;12;
;"20020730_CAVCMUII";18133;10;
;"20020731.PROV";19185;12;
;"20020731_CAM";4334;3;
;"20020731_CAVCMU";18189;10;
;"20020801.PROV";19194;13;
;"20020801_CAM";22189;15;
;"20020802_CAM";22205;14;
;"20020802_CAVCMU";18217;12;
;"20020806_CAM";22279;14;
;"20020807_CAVCMU";18259;11;
;"20020809_CAM";22262;13;
;"20020812_CAVCMU";18287;11;
;"20020812bis_CAVCMU";18315;10;
;"20020813_AND";10417;6;
;"20020813_CAVCMU";18343;10;
;"20020814_CAM";22302;13;
;"20020816_CAVCMU";18385;14;
;"20020819_CAM";22390;18;
;"20020819_CAVCMU";18413;16;
;"20020820.PROV";582;0;
;"20020820_CAM";22410;13;
;"20020820_CAVCMU";18441;11;
;"20020821.PROV";956;0;
;"20020821_CAM";21689;13;
;"20020821_CAVCMU";18483;12;
;"20020821_PROV2";1687;2;
;"20020822.PROV";16524;11;
;"20020822_CAM";21706;14;
;"20020823.PROV";13900;9;
;"20020823_CAM";21723;14;
;"20020823_CAVCMU";18511;13;
;"20020825.PROV";2862;2;
;"20020826.PROV";9329;6;
;"20020826_CAM";21706;11;
;"20020827.PROV";11407;6;
;"20020827_CAM";1580;0;
;"20020827_CAVCMU";18539;13;
;"20020828.PROV";7944;5;
;"20020828_CAM";21731;12;
;"20020828_CAVCMU";18567;8;
;"20020829_CAM";21739;16;
;"20020830_CAM";21704;16;
;"20020830_CAVCMU";18609;13;
;"20020902Ivan_CAVCMU.PV";1593;1;
;"20020902_AND";386;1;
;"20020902_CAM";21779;15;
;"20020903_CAM";21737;16;
;"20020903_CAVCMU";18623;12;
;"20020904_CAVCMU";18651;15;
;"20020905.PROV";5982;3;
;"20020905_CAM";21753;18;
;"20020905_CAVCMU";18679;14;
;"20020906.BIS_CAM";11003;8;
;"20020906_CAM";10814;7;
;"20020906_CAM.PV";3995394;2783;
;"20020909_CAM";21765;15;
;"20020909_CAVCMU";18707;11;
;"20020910.PROV";1186;1;
;"20020910II_CAVCMU";18735;9;
;"20020910_CAM";21829;11;
;"20020910_CAVCMU";18721;9;
;"20020911.PROV";1186;0;
;"20020911_CAM";21792;18;
;"20020911_CAVCMU";18755;16;
;"20020912_CAM";21829;17;
;"20020912_CAVCMU";18777;17;
;"20020913_CAVCMU";18791;12;
;"20020916_CAVCMU";18827;14;
;"20020917Ivan_CAVCMU.PV";1614;1;
;"20020917_CAVCMU";18833;14;
;"20020918_CAVCMU";18847;15;
;"20020919David_CAVCMU";1610;2;
;"20020919_CAM";21853;16;
;"20020919_CAVCMU";18875;14;
;"20020923_CAM";21961;16;
;"20020923_CAVCMU";18889;15;
;"20020924.PROV";16389;5;
;"20020924_CAM";21978;17;
;"20020924_CAM.PV";4045975;1275;
;"20020924_CAVCMU";18917;18;
;"20020925.PROV";8231;7;
;"20020925_CAM";4101;1;
;"20020925_CAVCMU";18939;14;
;"20020926.PROV";19009;15;
;"20020926Ivan_CAVCMU";975;1;
;"20020926_CAM";21994;15;
;"20020926_CAVCMU";18964;14;
;"20020927_CAM";21965;2;
